country,fsysbank,startyear,endyear,hascurr,hassovdebt,hassovdebtres,hasinfl,yloss,fcost_v1,fcost_v2,fcost_v3,maxnpl,gsdebt,lvsource,rrsource
Albania,1,1994,1994,0,0,0,,,,,,26.8,,1,0
Algeria,1,1990,1994,1,0,0,1,41.3922533,,,,30,19.10056,1,1
Angola,0,,,,,,,,,,,,,1,1
Azerbaijan,1,1995,1995,0,0,0,,,,,,,0.8960299999999999,1,0
Argentina,1,1980,1982,0,0,0,1,58.17123480000001,55.1,55.1,213.8975067138672,9,33.14739,1,1
Argentina,2,1989,1991,0,1,0,1,12.6299469,6,6,21.60604858398438,27,-21.29261,1,1
Argentina,3,1995,1995,1,0,0,0,0,2,2,8.550662994384766,17,8.69467,1,1
Argentina,4,2001,2003,1,1,0,1,70.9741988,9.6,9.584664537,28.09482192993164,20.1,81.88721,1,1
Australia,0,,,,,,,,,,,,,1,1
Austria,1,2008,2012,0,0,0,,19.215918,5.149999999999999,1.64,1.643531441688538,4.100000000000001,19.8,1,0
Bangladesh,1,1987,1987,0,0,0,,0,,,,20,3.4759,1,0
Armenia,1,1994,1994,0,0,0,,,,,,,,1,0
Barbados,0,,,,,,,,,,,,,1,0
Belgium,1,2008,2012,0,0,0,0,15.732718,6.15,0.46,1.628382802009583,4.24,22.2,1,1
Bhutan,0,,,,,,,,,,,,,1,0
Bolivia,1,1986,1986,1,0,0,1,49.1917352,,,,30,-107.2825,1,1
Bolivia,2,1994,1994,0,0,0,,0,6,2.653333333333334,15.19371891021729,6.2,-19.21072,1,0
Bosnia and Herzegovina,1,1992,1996,0,0,0,,,,,,,,1,0
Botswana,0,,,,,,,,,,,,,1,0
Brazil,1,1990,1994,1,0,0,1,62.29560429999999,0,0,0,,-22.64,1,1
Brazil,2,1994,1998,1,0,1,1,0,13.2,10.2,28.59618759155273,16,-33.77793,1,1
Belize,0,,,,,,,,,,,,,1,0
Brunei,0,,,,,,,,,,,,,1,0
Bulgaria,1,1996,1997,1,0,0,,59.5104933,14,13.9,21.37078285217285,75,-30.07973,1,0
Myanmar,1,2002,2005,0,,,1,,,,,,,0,1
Burundi,1,1994,1998,0,0,0,,121.1920017,,,,25,10.85286,1,0
Belarus,1,1995,1995,0,0,0,,,,,,,-16.45655,1,0
Cambodia,0,,,,,,,,,,,,,1,0
Cameroon,1,1987,1991,0,0,0,,105.52664,,,,65,17.96692,1,0
Cameroon,2,1995,1997,0,0,0,,8.098251900000001,,,,30,-1.06627,1,0
Canada,0,,,,,,,,,,,,,1,1
Cape Verde,1,1993,1993,0,0,0,,0,,,,30,18.15971,1,0
Central African Republic,1,1976,1976,0,0,0,0,0,,,,,-4.77751,1,1
Central African Republic,2,1988,1993,1,,,1,,,,,,,0,1
Central African Republic,3,1995,1996,0,0,0,,8.9569594,,,,40,-16.26852,1,0
Sri Lanka,1,1989,1991,1,0,0,1,19.581246,5,5,21.96836471557617,35,-5.5,1,1
Chad,1,1983,1983,0,0,0,,0,,,,,-7.16883,1,0
Chad,2,1992,1996,0,0,0,,0,,,,35,27.0806,1,0
Chile,1,1976,1976,1,0,0,1,19.8985502,,,,,-69.52382,1,1
